KakaoTalk Chats with 사형집행소 -CH1 (8)
Date Saved : January 22, 2023, 11:00 PM


September 21, 2022, 5:12 PM
September 21, 2022, 5:12 PM, 장동건 joined this chatroom.
You may temporarily be banned from using KakaoTalk if other members report you for violating our Operation Policy. View Operation Policy
September 21, 2022, 5:21 PM, 장동건 : Emoticons
September 21, 2022, 6:07 PM, 가은 : Emoticons
September 21, 2022, 6:13 PM, 장동건 : Emoticons
September 21, 2022, 6:57 PM, 육지향 : Emoticons
September 21, 2022, 10:00 PM, 방장봇 : 발닦고 잠이나 자

September 22, 2022, 7:30 AM
September 22, 2022, 7:30 AM, 방장봇 : 해가 중천이여 🔆
일어나 이것들아
September 22, 2022, 4:30 PM, 이가은 : @장동건 긁힌 부분 상처남
September 22, 2022, 4:30 PM, 장동건 : Emoticons
September 22, 2022, 4:31 PM, 이가은 : ㅠㅠ
September 22, 2022, 4:31 PM, 이가은 : 나 이제 감염돼서 수명 짧아짐
September 22, 2022, 4:44 PM, 장동건 : 좋네
September 22, 2022, 4:46 PM, 이가은 : Emoticons
September 22, 2022, 4:46 PM, 장동건 : Emoticons
September 22, 2022, 6:23 PM, 가은 : @강은솔 
September 22, 2022, 6:23 PM, 가은 : @강은솔 
September 22, 2022, 6:23 PM, 가은 : @강은솔 
September 22, 2022, 6:23 PM, 가은 : @강은솔 
September 22, 2022, 6:23 PM, 가은 : @강은솔 
September 22, 2022, 6:23 PM, 강은솔 : ?
September 22, 2022, 6:23 PM, 가은 : 학원?
September 22, 2022, 6:24 PM, 강은솔 : ㅇㅇ
September 22, 2022, 6:24 PM, 강은솔 : 먼일인데
September 22, 2022, 6:24 PM, 가은 : 끝나면 갈까
September 22, 2022, 6:24 PM, 강은솔 : 잉
September 22, 2022, 6:24 PM, 강은솔 : 너네 같이있니
September 22, 2022, 6:24 PM, 가은 : ㅇㅇ
September 22, 2022, 6:24 PM, 가은 : 서점 갈라고
September 22, 2022, 6:24 PM, 가은 : 나 미술 수행
September 22, 2022, 6:24 PM, 강은솔 : ㅇㅔ
September 22, 2022, 6:24 PM, 가은 : 끝나고 너옴
September 22, 2022, 6:24 PM, 가은 : 나롬
September 22, 2022, 6:24 PM, 가은 : 나
September 22, 2022, 6:24 PM, 가은 : 옴
September 22, 2022, 6:24 PM, 강은솔 : 친구랑 밥먹기로 했는뎅
September 22, 2022, 6:25 PM, 가은 : 하이?
September 22, 2022, 6:25 PM, 강은솔 : 그
September 22, 2022, 6:25 PM, 강은솔 : 장시온이라고
September 22, 2022, 6:25 PM, 강은솔 : 아니
September 22, 2022, 6:25 PM, 가은 : 시온..?
September 22, 2022, 6:25 PM, 강은솔 : 엌
September 22, 2022, 6:25 PM, 육지향 : 누군지 알음
September 22, 2022, 6:26 PM, 강은솔 : 넌알겟지
September 22, 2022, 6:26 PM, 가은 : 샵검색 : #시온 라이징벌스
September 22, 2022, 6:26 PM, 강은솔 : ?
September 22, 2022, 6:26 PM, 육지향 : 아닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
September 22, 2022, 6:26 PM, 가은 : ㅎㅎ..
September 22, 2022, 6:26 PM, 육지향 : 저거 말곸ㅋㅋㅋㅋㅋ
September 22, 2022, 6:26 PM, 가은 : 이거 들어바
September 22, 2022, 6:26 PM, 강은솔 : ?
September 22, 2022, 6:26 PM, 가은 : 내가 아는 시온은
September 22, 2022, 6:26 PM, 육지향 : 저게 나올 줄 몰랐지 ㅋㅋㅋㅋ 저거 들어봤음
September 22, 2022, 6:26 PM, 가은 : 이거 하나임
September 22, 2022, 6:27 PM, 육지향 : 뭐 먹는데? 못노는건 알겠고
September 22, 2022, 6:27 PM, 육지향 : 그게 궁금함
September 22, 2022, 6:27 PM, 강은솔 : ㅋㅋㅋㅋㅋㅋ
September 22, 2022, 6:27 PM, 가은 : 머먹음!
September 22, 2022, 6:28 PM, 강은솔 : 아직 안정햇는데
September 22, 2022, 6:28 PM, 강은솔 : 그
September 22, 2022, 6:28 PM, 강은솔 : 친구 강아지 데려다
September 22, 2022, 6:28 PM, 강은솔 : 애견카페 가기로함
September 22, 2022, 6:29 PM, 가은 : ㄷㄷ
September 22, 2022, 6:29 PM, 강은솔 : Emoticons
September 22, 2022, 6:29 PM, 육지향 : 와우
September 22, 2022, 6:29 PM, 육지향 : 해피 잘 놀고 와
September 22, 2022, 6:29 PM, 가은 : ㅋㅋㄱㅋㄱㅋ
September 22, 2022, 6:29 PM, 강은솔 : ㅋㅋㅋㅋㅋㅋㅋ
September 22, 2022, 6:29 PM, 가은 : 애견카페 가는
September 22, 2022, 6:29 PM, 가은 : 이유가 있었구만
September 22, 2022, 6:29 PM, 강은솔 : ?
September 22, 2022, 6:29 PM, 강은솔 : Emoticons
September 22, 2022, 6:29 PM, 가은 : 해-피☆
September 22, 2022, 6:29 PM, 강은솔 : Emoticons
September 22, 2022, 6:30 PM, 육지향 :  신나게 놀아☆ 
September 22, 2022, 6:30 PM, 강은솔 : Emoticons
September 22, 2022, 6:30 PM, 가은 : Emoticons
September 22, 2022, 6:30 PM, 육지향 : Emoticons
September 22, 2022, 6:30 PM, 강은솔 : Emoticons
September 22, 2022, 6:30 PM, 가은 : Emoticons
September 22, 2022, 6:31 PM, 가은 : Emoticons
September 22, 2022, 6:37 PM, 장동건 : 친구 만나러 가는거였어...
September 22, 2022, 10:00 PM, 방장봇 : 발닦고 잠이나 자

September 23, 2022, 7:30 AM
September 23, 2022, 7:30 AM, 방장봇 : 해가 중천이여 🔆
일어나 이것들아
September 23, 2022, 8:44 AM, 가은 : 오 좃됬네
September 23, 2022, 8:45 AM, 가은 : 왜 44분
September 23, 2022, 8:45 AM, 장동건 : 死死분
September 23, 2022, 8:48 AM, 가은 : ㅋㅋㅋㅋ
September 23, 2022, 8:48 AM, 가은 : 좃됫다
September 23, 2022, 8:48 AM, 가은 : ~~~
September 23, 2022, 8:48 AM, 장동건 : 252767fb183751770630cc26292b39b83f4df9ab0c26aa6a26a8468c39f70f9a.jpg
September 23, 2022, 8:48 AM, 장동건 : 카톡 병신됨
September 23, 2022, 8:48 AM, 장동건 : 이거 뭐지
September 23, 2022, 3:25 PM, 이가은 : 코스피 왜이라
September 23, 2022, 3:25 PM, 이가은 : 래
September 23, 2022, 3:25 PM, 이가은 : 이거 뭐야
September 23, 2022, 3:25 PM, 장동건 : 미장 죽었나
September 23, 2022, 3:26 PM, 이가은 : 2200대 처음 봄
September 23, 2022, 5:06 PM, 장동건 : ㄹㅇ..
September 23, 2022, 8:38 PM, 이가은 : 이제 밤 되면 춥네
September 23, 2022, 8:38 PM, 이가은 : 춥고 지갑 없고
September 23, 2022, 8:38 PM, 이가은 : 반경 10m내로 아무도 없고
September 23, 2022, 8:39 PM, 이가은 : 낭만적이다
September 23, 2022, 8:44 PM, 이가은 : 와 편의점이 문닫혀있어
September 23, 2022, 10:00 PM, 방장봇 : 발닦고 잠이나 자
September 23, 2022, 10:05 PM, 장동건 : 편의점은 원래 문 닫아..
September 23, 2022, 10:24 PM, 이가은 : 문 열어놓으면 춥겠구나
September 23, 2022, 10:27 PM, 장동건 : 그렇지
September 23, 2022, 10:27 PM, 이가은 : ㅏ...
September 23, 2022, 10:28 PM, 장동건 : 그리고 문 열고 히터켜면 불법이야
